page,item,old_value,new_value,notes
"formula-one.html","JSON-LD ItemList","{""@context"": ""https://schema.org"", ""@type"": ""ItemList"", ""name"": ""Formula One 2026 Season"", ""numberOfItems"": 24, ""itemListElement"": [{""@type"": ""ListItem"", ""position"": 1, ""name"": ""Bahrain Grand Prix""}, {""@type"": ""ListItem"", ""position"": 2, ""name"": ""Saudi Arabian Grand Prix""}, {""@type"": ""ListItem"", ""position"": 3, ""name"": ""Australian Grand Prix""}, {""@type"": ""ListItem"", ""position"": 4, ""name"": ""Japanese Grand Prix""}, {""@type"": ""ListItem"", ""position"": 5, ""name"": ""Chinese Grand Prix""}, {""@type"": ""ListItem"", ""position"": 6, ""name"": ""Miami Grand Prix""}, {""@type"": ""ListItem"", ""position"": 7, ""name"": ""Emilia Romagna Grand Prix""}, {""@type"": ""ListItem"", ""position"": 8, ""name"": ""Monaco Grand Prix""}, {""@type"": ""ListItem"", ""position"": 9, ""name"": ""Canadian Grand Prix""}, {""@type"": ""ListItem"", ""position"": 10, ""name"": ""Austrian Grand Prix""}, {""@type"": ""ListItem"", ""position"": 11, ""name"": ""British Grand Prix""}, {""@type"": ""ListItem"", ""position"": 12, ""name"": ""Hungarian Grand Prix""}, {""@type"": ""ListItem"", ""position"": 13, ""name"": ""Belgian Grand Prix""}, {""@type"": ""ListItem"", ""position"": 14, ""name"": ""Dutch Grand Prix""}, {""@type"": ""ListItem"", ""position"": 15, ""name"": ""Italian Grand Prix""}, {""@type"": ""ListItem"", ""position"": 16, ""name"": ""Spanish Grand Prix""}, {""@type"": ""ListItem"", ""position"": 17, ""name"": ""Azerbaijan Grand Prix""}, {""@type"": ""ListItem"", ""position"": 18, ""name"": ""Singapore Grand Prix""}, {""@type"": ""ListItem"", ""position"": 19, ""name"": ""United States Grand Prix""}, {""@type"": ""ListItem"", ""position"": 20, ""name"": ""Mexico City Grand Prix""}, {""@type"": ""ListItem"", ""position"": 21, ""name"": ""S\\u00e3o Paulo Grand Prix""}, {""@type"": ""ListItem"", ""position"": 22, ""name"": ""Las Vegas Grand Prix""}, {""@type"": ""ListItem"", ""position"": 23, ""name"": ""Qatar Grand Prix""}, {""@type"": ""ListItem"", ""position"": 24, ""name"": ""Abu Dhabi Grand Prix""}]}","{""@context"": ""https://schema.org"", ""@type"": ""ItemList"", ""name"": ""Formula One 2027 Season"", ""numberOfItems"": 24, ""itemListElement"": [{""@type"": ""ListItem"", ""position"": 1, ""name"": ""Bahrain Grand Prix""}, {""@type"": ""ListItem"", ""position"": 2, ""name"": ""Saudi Arabian Grand Prix""}, {""@type"": ""ListItem"", ""position"": 3, ""name"": ""Australian Grand Prix""}, {""@type"": ""ListItem"", ""position"": 4, ""name"": ""Japanese Grand Prix""}, {""@type"": ""ListItem"", ""position"": 5, ""name"": ""Chinese Grand Prix""}, {""@type"": ""ListItem"", ""position"": 6, ""name"": ""Miami Grand Prix""}, {""@type"": ""ListItem"", ""position"": 7, ""name"": ""Canadian Grand Prix""}, {""@type"": ""ListItem"", ""position"": 8, ""name"": ""Monaco Grand Prix""}, {""@type"": ""ListItem"", ""position"": 9, ""name"": ""Portuguese Grand Prix""}, {""@type"": ""ListItem"", ""position"": 10, ""name"": ""British Grand Prix""}, {""@type"": ""ListItem"", ""position"": 11, ""name"": ""Austrian Grand Prix""}, {""@type"": ""ListItem"", ""position"": 12, ""name"": ""Belgian Grand Prix""}, {""@type"": ""ListItem"", ""position"": 13, ""name"": ""Hungarian Grand Prix""}, {""@type"": ""ListItem"", ""position"": 14, ""name"": ""Italian Grand Prix""}, {""@type"": ""ListItem"", ""position"": 15, ""name"": ""Spanish Grand Prix""}, {""@type"": ""ListItem"", ""position"": 16, ""name"": ""Azerbaijan Grand Prix""}, {""@type"": ""ListItem"", ""position"": 17, ""name"": ""Turkish Grand Prix""}, {""@type"": ""ListItem"", ""position"": 18, ""name"": ""Singapore Grand Prix""}, {""@type"": ""ListItem"", ""position"": 19, ""name"": ""United States Grand Prix""}, {""@type"": ""ListItem"", ""position"": 20, ""name"": ""Mexico City Grand Prix""}, {""@type"": ""ListItem"", ""position"": 21, ""name"": ""S\u00e3o Paulo Grand Prix""}, {""@type"": ""ListItem"", ""position"": 22, ""name"": ""Las Vegas Grand Prix""}, {""@type"": ""ListItem"", ""position"": 23, ""name"": ""Qatar Grand Prix""}, {""@type"": ""ListItem"", ""position"": 24, ""name"": ""Abu Dhabi Grand Prix""}]}","Replaced the 2026 season list (which still carried an Emilia Romagna round and no Portugal or Türkiye) with the confirmed 24-round 2027 season. Official 2027 F1 calendar announced 16 Sep 2026"
"formula-one.html","title","<title>Formula One Travel 2026 | All 24 Races | Vedere Travel</title>","<title>Formula One Travel 2026 &amp; 2027 | Vedere Travel</title>","Hub now carries confirmed 2027 rounds as well as the remaining 2026 season (46 chars)"
"formula-one.html","meta description","<meta name=""description"" content=""Formula One travel packages for 2026 from £2,195pp. All 24 races with official tickets, hand-picked hotels, flights and transfers. ATOL protected.""","<meta name=""description"" content=""Formula One travel for the 2026 and 2027 seasons from £2,195pp. Official tickets, hand-picked hotels, flights and transfers. ATOL protected.""","Covers both seasons (144 chars)"
"formula-one.html","og:title","<meta property=""og:title"" content=""Formula One Travel 2026 | Vedere Travel""","<meta property=""og:title"" content=""Formula One Travel 2026 &amp; 2027 | Vedere Travel""","Matches the page title"
"formula-one.html","hero-sub","<p class=""hero-sub"">Official tickets, hospitality and hotels for every Grand Prix weekend on the 2026 calendar, planned around you by one dedicated specialist.</p>","<p class=""hero-sub"">Official tickets, hospitality and hotels for every Grand Prix weekend on the 2026 and 2027 calendars, planned around you by one dedicated specialist.</p>","2027 calendar is confirmed and sold from this page"
"formula-one.html","hero button","<a class=""btn btn-solid"" href=""#calendar"">The 2026 Calendar</a>","<a class=""btn btn-solid"" href=""#calendar"">The Calendar</a>","Calendar section covers 2026 and 2027"
"formula-one.html","calendar heading","<h2 class=""h2"">The 2026&ndash;27<br><em>Grand Prix calendar.</em></h2>","<h2 class=""h2"">The 2026&ndash;27<br><em>Grand Prix calendar.</em></h2>","Unchanged - the section deliberately spans both seasons"
"formula-one.html","calendar row: bahrain-grand-prix-2027.html","cal-dt ""March 2027 · provisional"" / data-half ""first""","cal-dt ""Mar 12–14 2027"" / data-half ""first""","Confirmed weekend; ""provisional"" removed. Official 2027 F1 calendar announced 16 Sep 2026"
"formula-one.html","calendar row: saudi-arabian-grand-prix-2027.html","cal-dt ""March 2027 · provisional"" / data-half ""first""","cal-dt ""Mar 19–21 2027"" / data-half ""first""","Confirmed weekend; ""provisional"" removed. Official 2027 F1 calendar announced 16 Sep 2026"
"formula-one.html","calendar row: australian-grand-prix-2027.html","cal-dt ""April 2027 · provisional"" / data-half ""first""","cal-dt ""Apr 2–4 2027"" / data-half ""first""","Confirmed weekend; ""provisional"" removed. Official 2027 F1 calendar announced 16 Sep 2026"
"formula-one.html","calendar row: japanese-grand-prix-2027.html","cal-dt ""April 2027 · provisional"" / data-half ""first""","cal-dt ""Apr 9–11 2027"" / data-half ""first""","Confirmed weekend; ""provisional"" removed. Official 2027 F1 calendar announced 16 Sep 2026"
"formula-one.html","calendar row: chinese-grand-prix-2027.html","cal-dt ""April 2027 · provisional"" / data-half ""first""","cal-dt ""Apr 16–18 2027"" / data-half ""first""","Confirmed weekend; ""provisional"" removed. Official 2027 F1 calendar announced 16 Sep 2026"
"formula-one.html","calendar row: miami-grand-prix-2027.html","cal-dt ""May 2027 · provisional"" / data-half ""first""","cal-dt ""Apr 30 – May 2 2027"" / data-half ""first""","Confirmed weekend; ""provisional"" removed. Official 2027 F1 calendar announced 16 Sep 2026"
"formula-one.html","calendar row: canadian-grand-prix-2027.html","cal-dt ""June 2027 · provisional"" / data-half ""first""","cal-dt ""May 21–23 2027"" / data-half ""first""","Confirmed weekend; ""provisional"" removed. Official 2027 F1 calendar announced 16 Sep 2026"
"formula-one.html","calendar row: monaco-grand-prix-2027.html","cal-dt ""June 2027 · provisional"" / data-half ""first""","cal-dt ""Jun 4–6 2027"" / data-half ""first""","Confirmed weekend; ""provisional"" removed. Official 2027 F1 calendar announced 16 Sep 2026"
"formula-one.html","calendar row: british-grand-prix-2027.html","cal-dt ""July 2027 · provisional"" / data-half ""first""","cal-dt ""Jul 2–4 2027"" / data-half ""first""","Confirmed weekend; ""provisional"" removed. Official 2027 F1 calendar announced 16 Sep 2026"
"formula-one.html","calendar row: austrian-grand-prix-2027.html","cal-dt ""July 2027 · provisional"" / data-half ""first""","cal-dt ""Jul 9–11 2027"" / data-half ""first""","Confirmed weekend; ""provisional"" removed. Official 2027 F1 calendar announced 16 Sep 2026"
"formula-one.html","calendar row: belgian-grand-prix-2027.html","cal-dt ""August 2027 · provisional"" / data-half ""second""","cal-dt ""Jul 23–25 2027"" / data-half ""first""","Confirmed weekend; ""provisional"" removed. Official 2027 F1 calendar announced 16 Sep 2026"
"formula-one.html","calendar row: hungarian-grand-prix-2027.html","cal-dt ""August 2027 · provisional"" / data-half ""first""","cal-dt ""Jul 30 – Aug 1 2027"" / data-half ""first""","Confirmed weekend; ""provisional"" removed. Official 2027 F1 calendar announced 16 Sep 2026"
"formula-one.html","calendar row: malaysian-grand-prix-2026.html","<span class=""cal-nm"">Malaysian<span class=""cal-ci"">One-off Sepang return</span></span><span class=""cal-dt"">","<span class=""cal-nm"">Malaysian<span class=""cal-badge"">One-off Sepang return</span></span></span></span><span class=""cal-dt"">","Markup bug: cal-ci nested inside cal-nm and two spans left unclosed, which breaks every following row. Structure repaired only; 2026 content untouched."
"formula-one.html","calendar row: portuguese-grand-prix-2027.html","(no row)","<a class=""cal-row"" href=""portuguese-grand-prix-2027.html"" data-region=""europe"" data-half=""first""><span class=""cal-rd"">’27</span><span><span class=""cal-nmwrap""><span class=""cal-flag"" style=""display:inline-block;width:30px;height:22px""></span><span class=""cal-nm"">Portuguese<span class=""cal-badge"">Algarve Return</span></span></span><span class=""cal-ci"">Aut&oacute;dromo Internacional do Algarve &middot; Portim&atilde;o, Portugal</span></span><span class=""cal-dt"">Jun 18–20 2027</span><span class=""cal-pr"">&pound;1,595<span>per person</span></span><span class=""cal-go"">Explore race</span></a>","Round 9 of the confirmed 2027 calendar was missing from the hub. Flag SVG is a sized placeholder - Portugal flag asset is a content dependency."
"formula-one.html","calendar row: turkish-grand-prix-2027.html","(no row)","<a class=""cal-row"" href=""turkish-grand-prix-2027.html"" data-region=""europe"" data-half=""second""><span class=""cal-rd"">’27</span><span><span class=""cal-nmwrap""><span class=""cal-flag"" style=""display:inline-block;width:30px;height:22px""></span><span class=""cal-nm"">Turkish<span class=""cal-badge"">Home of Turn 8</span></span></span><span class=""cal-ci"">Istanbul Park &middot; Istanbul, T&uuml;rkiye</span></span><span class=""cal-dt"">Oct 1–3 2027</span><span class=""cal-pr"">&pound;1,495<span>per person</span></span><span class=""cal-go"">Explore race</span></a>","Round 17 of the confirmed 2027 calendar was missing from the hub. Flag SVG is a sized placeholder - Türkiye flag asset is a content dependency."
"formula-one.html","calendar row: italian-grand-prix-2026.html","<span>register 2027 interest</span>","<span>2027: Sep 3–5</span>","Monza is round 14 of the 2027 calendar, 3-5 September 2027 (a sprint event). Official 2027 F1 calendar announced 16 Sep 2026"
"formula-one.html","calendar row: spanish-grand-prix-2026.html","<span>register 2027 interest</span>","<span>2027: Sep 10–12</span>","Spain is round 15 of the 2027 calendar, 10-12 September 2027. Official 2027 F1 calendar announced 16 Sep 2026"
"formula-one.html","calendar row: dutch-grand-prix-2026.html","<span>register 2027 interest</span>","<span>no 2027 round</span>","There is no Dutch Grand Prix on the 2027 calendar. Official 2027 F1 calendar announced 16 Sep 2026"
"formula-one.html","calendar order","2027 rounds listed out of sequence; Portugal and Türkiye absent","2027 rounds in official round order 1-13 plus round 17, then the remaining 2026 rounds","Monaco/Canada, Britain/Austria and Belgium/Hungary were in the wrong order against the confirmed calendar"
"assets/js/vx-search.js","search index n: australian-grand-prix-2027.html","Melbourne, Australia · 2027 provisional — expect early–mid March slot ","Melbourne, Australia · 2–4 April 2027 · Albert Park Circuit","Confirmed 2027 weekend; provisional/TBC wording removed. Official 2027 F1 calendar announced 16 Sep 2026"
"assets/js/vx-search.js","search index n: austrian-grand-prix-2027.html","Spielberg, Austria · 2027 provisional — expect late June/early July sl","Spielberg, Austria · 9–11 July 2027 · Red Bull Ring","Confirmed 2027 weekend; provisional/TBC wording removed. Official 2027 F1 calendar announced 16 Sep 2026"
"assets/js/vx-search.js","search index n: bahrain-grand-prix-2027.html","Sakhir, Bahrain · 12–14 March 2027 (provisional season opener — subjec","Sakhir, Bahrain · 12–14 March 2027 · Bahrain International Circuit","Confirmed 2027 weekend; provisional/TBC wording removed. Official 2027 F1 calendar announced 16 Sep 2026"
"assets/js/vx-search.js","search index n: belgian-grand-prix-2027.html","Spa-Francorchamps, Belgium · 2027 provisional — expect mid–late July s","Spa-Francorchamps, Belgium · 23–25 July 2027","Confirmed 2027 weekend; provisional/TBC wording removed. Official 2027 F1 calendar announced 16 Sep 2026"
"assets/js/vx-search.js","search index n: british-grand-prix-2027.html","Silverstone, England · 2027 provisional — expect early July slot · Sil","Silverstone, England · 2–4 July 2027 · Silverstone Circuit","Confirmed 2027 weekend; provisional/TBC wording removed. Official 2027 F1 calendar announced 16 Sep 2026"
"assets/js/vx-search.js","search index n: canadian-grand-prix-2027.html","Montréal, Canada · 2027 provisional — expect late May slot (moved earl","Montréal, Canada · 21–23 May 2027 · Circuit Gilles Villeneuve","Confirmed 2027 weekend; provisional/TBC wording removed. Official 2027 F1 calendar announced 16 Sep 2026"
"assets/js/vx-search.js","search index n: chinese-grand-prix-2027.html","Shanghai, China · 2027 provisional — expect March slot · Shanghai Inte","Shanghai, China · 16–18 April 2027 · Shanghai International Circuit","Confirmed 2027 weekend; provisional/TBC wording removed. Official 2027 F1 calendar announced 16 Sep 2026"
"assets/js/vx-search.js","search index n: hungarian-grand-prix-2027.html","Budapest, Hungary · 2027 provisional — expect late July/early August s","Budapest, Hungary · 30 July – 1 August 2027 · Hungaroring","Confirmed 2027 weekend; provisional/TBC wording removed. Official 2027 F1 calendar announced 16 Sep 2026"
"assets/js/vx-search.js","search index n: japanese-grand-prix-2027.html","Suzuka, Japan · 2027 provisional — expect late March/early April slot ","Suzuka, Japan · 9–11 April 2027 · Suzuka Circuit","Confirmed 2027 weekend; provisional/TBC wording removed. Official 2027 F1 calendar announced 16 Sep 2026"
"assets/js/vx-search.js","search index n: miami-grand-prix-2027.html","Miami, USA · 2027 provisional — expect early May slot · Miami Internat","Miami, USA · 30 April – 2 May 2027 · Miami International Autodrome","Confirmed 2027 weekend; provisional/TBC wording removed. Official 2027 F1 calendar announced 16 Sep 2026"
"assets/js/vx-search.js","search index n: monaco-grand-prix-2027.html","Monte Carlo, Monaco · 2027 provisional — expect first week of June · C","Monte Carlo, Monaco · 4–6 June 2027 · Circuit de Monaco","Confirmed 2027 weekend; provisional/TBC wording removed. Official 2027 F1 calendar announced 16 Sep 2026"
"assets/js/vx-search.js","search index n: portuguese-grand-prix-2027.html","Portimão, Portugal · 2027 provisional — slot TBC on autumn announcemen","Portimão, Portugal · 18–20 June 2027 · Autódromo do Algarve","Confirmed 2027 weekend; provisional/TBC wording removed. Official 2027 F1 calendar announced 16 Sep 2026"
"assets/js/vx-search.js","search index n: saudi-arabian-grand-prix-2027.html","Jeddah, Saudi Arabia · 19–21 March 2027 (provisional — subject to regi","Jeddah, Saudi Arabia · 19–21 March 2027 · Jeddah Corniche Circuit","Confirmed 2027 weekend; provisional/TBC wording removed. Official 2027 F1 calendar announced 16 Sep 2026"
"assets/js/vx-search.js","search index n: turkish-grand-prix-2027.html","Istanbul, Türkiye · 2027 provisional — slot TBC on autumn announcement","Istanbul, Türkiye · 1–3 October 2027 · Istanbul Park","Confirmed 2027 weekend; provisional/TBC wording removed. Official 2027 F1 calendar announced 16 Sep 2026"
"monaco-grand-prix-2027.html","content dependency: sprint session timetable","Thursday practice / Friday no track action","Friday practice + sprint qualifying; Saturday sprint + qualifying; Sunday Grand Prix","Monaco carries a sprint for the first time in 2027, so the traditional Thursday/Friday-off rhythm is gone. Day-by-day session order shown follows the standard sprint format; published ACM/FOM timetable and start times still needed."
"monaco-grand-prix-2027.html","content dependency: board basis","(not stated)","Board: By hotel - see the hotel list","Entry tier quotes a Nice or Beaulieu base whose board basis is not stated anywhere on the page. Only the Columbus Monte-Carlo upgrade carries a stated board (room only)."
"monaco-grand-prix-2027.html","content dependency: transfers by tier","(not stated per tier)","Transfers: Helicopter or private car from Nice","Inclusions block states helicopter or private car from Nice on ""premium tiers"" without naming which packages. Confirm whether Premium Monaco and Hospitality Experience both include it."
"australian-grand-prix-2027.html","content dependency: seasonal guidance","March Melbourne: 15-28 degrees C","Temperature guidance is being reconfirmed for the April slot","Race moved from a March assumption to a confirmed 2-4 April weekend, so the March figures were removed rather than re-used. April figures needed."
"chinese-grand-prix-2027.html","content dependency: seasonal guidance","March Shanghai: 8-16 degrees C","Temperature guidance is being reconfirmed for the April slot","Race moved from a March assumption to a confirmed 16-18 April weekend. April figures needed."
"japanese-grand-prix-2027.html","content dependency: cherry blossom","sakura season / Kyoto in bloom, ""if the slot holds""","Kyoto in April","Confirmed weekend is 9-11 April, at the late end of blossom season and variable year to year. Blossom is no longer promised anywhere on the page. Client to decide whether to reinstate it with a year-specific forecast."
"portuguese-grand-prix-2027.html","content dependency: ticketing","(unchanged)","2027 grandstand map and circuit hospitality product names still marked TBC","Portimao has not hosted F1 since 2021; grandstand naming and the hospitality programme for 2027 are needed before the ticket ladder can be firmed up."
"turkish-grand-prix-2027.html","content dependency: ticketing","(unchanged)","Istanbul Park hospitality product names still marked ""confirmed on release""","Istanbul Park hospitality product naming for 2027 needed."
"bahrain-grand-prix-2027.html","content dependency: ticketing","(unchanged)","Circuit hospitality product names still marked ""confirmed on release""","2027 Bahrain International Circuit hospitality product naming needed."
"saudi-arabian-grand-prix-2027.html","content dependency: ticketing","(unchanged)","Circuit hospitality product names still marked ""confirmed on release""","2027 Jeddah Corniche Circuit hospitality product naming needed."
"australian-grand-prix-2027.html","content dependency: package/hotel conflict","Luxury Race Weekend named Crown Towers; hotel list assigns Crown Towers to Hospitality Experience and The Ritz-Carlton, Melbourne to Luxury Race Weekend","Hotel: Crown Towers Melbourne or The Ritz-Carlton, Melbourne (5*)","The page contradicted itself. Both are now listed. Client to confirm which hotel the Luxury Race Weekend price is built on."
"all 14 race pages","content dependency: room and board per package","Room / Board not stated per package","Room: As listed on your selected hotel; Board: By hotel - see the hotel list (used only where a package maps to more than one hotel)","Where a package maps to a single hotel, room and board were taken from that hotel card. Where it maps to two, a single quoted room and board per package is needed if the client wants firm package cards."
"all 14 race pages","content dependency: sprint-weekend ticketing","(not addressed on page)","(not addressed on page)","Bahrain, Australia, Japan, Monaco, Canada and Great Britain are sprint events in 2027. Confirm whether the 3-day grandstand and hospitality products sold include sprint-day access, and whether sprint weekends are priced differently, before the ticket ladders are re-quoted."
"bahrain-grand-prix-2027.html","content dependency: pre-season testing","(not on page)","(not on page)","Official 2027 pre-season testing is at Bahrain International Circuit, 24-27 February 2027. Not currently sold or mentioned on the page - client to decide whether to offer it."
"formula-one.html","content dependency: flag assets","(no row existed)","Sized placeholder span in place of a flag image on the Portugal and Turkiye rows","No Portugal or Turkiye flag SVG exists in the repo. Both new calendar rows use an empty 30x22 placeholder so the rows stay aligned. Flag assets needed."
"formula-one.html","content dependency: 2027 pricing","(no row existed)","Portugal from GBP 1,595; Turkiye from GBP 1,495","Starting prices on the two new hub rows were taken from those pages. Confirm they are the prices to publish for the 2027 release."
"formula-one.html","decision: 2026 rows not re-dated","Aug-Dec 2026 rows with 2026 dates","unchanged","The hub is a deliberate 2026-27 list. Azerbaijan onward are still live, bookable 2026 rounds, so their rows keep their 2026 dates and were not re-pointed at 2027. The completed rows (Dutch, Italian, Spanish) now carry the confirmed 2027 date in the ""register interest"" label instead. Flag if the client wants the hub converted to a 2027-only calendar."
"formula-one.html","content dependency: missing 2027 rounds","(no rows)","(no rows)","10 confirmed 2027 rounds have no 2027 page yet and so no hub row: Italy, Spain, Azerbaijan, Singapore, United States (Austin), Mexico City, Sao Paulo, Las Vegas, Qatar, Abu Dhabi. The hub therefore shows 14 of 24 2027 rounds."
"austin.html (not in this scope)","content dependency: 2026 date mismatch","Hub row reads ""Oct 23-25 2026""","unchanged","The 2027 calendar brief states austin.html currently sells the 2026 race as 22-25 October 2026, which does not match the hub row. No 2026 source of truth was supplied, so the row was left alone. Needs reconciling by whoever owns the 2026 pages."
